size,connectivity,num_steps,trial,mutation_rate,attractors
20,2,100,7,0.01,"[['111 1   111      1 1', '   11  111111  1 1 1', '   1    1 11 1 1   1']]"
20,2,100,8,0.01,"[['     1     111 11 1 ', ' 1 11111 11   1  1  ', '1 1 1   111  1  1   ']]"
20,2,100,9,0.01,[['  1  11    1 11 111 ']]
20,2,100,10,0.01,"[[' 1 1  1  1 1 1111 11', '1  1111  1 1    1 1 ']]"
20,2,100,11,0.01,[['111     111 1  1  1 ']]
20,2,100,12,0.01,"[[' 1  11  11    1  1 1', ' 1  11  11 1  1  1  ']]"
20,2,100,13,0.01,[[' 111111    11111    ']]
20,2,100,14,0.01,[['111  11  1 1      11']]
20,2,100,15,0.01,[['1 1111 1   1  1   1 ']]
20,2,100,16,0.01,"[['  1 1 1  11 111 1 11', '    1 1  1 1111   11', '  1 1    11  11 1  1']]"
20,2,100,17,0.01,"[['  1    1   111111  1', '1111  1   1 1 1    1', '  11 1111 1   1   1 ']]"
20,2,100,18,0.01,[['1    1     11 11 11 ']]
20,2,100,19,0.01,"[['1 11 1  1 11 1 1 1 1', '1   11   1 11  11  1', '1 1  1     1    111 ', '1  111  1 1111 1 111', '1    1   1 11     1 ']]"
20,2,100,0,0.03,[['1 11  1  1  1    1  ']]
20,2,100,1,0.03,"[[' 1   11 1  1  111 11', '1         11 1111   ', ' 11  1     1  111   ']]"
20,2,100,2,0.03,[['1111   1  111 1 1 11']]
20,2,100,3,0.03,[['   1   11   111  1  ']]
20,2,100,4,0.03,[['1 1 11 1  11  1 1 1 ']]
20,2,100,5,0.03,[[' 1 11 11 1    1     ']]
20,2,100,6,0.03,[['1  1111  11  1 1 1 1']]
20,2,100,7,0.03,[['11    1     1 1    1']]
20,2,100,8,0.03,[['111  11111111 1   11']]
20,2,100,9,0.03,"[['11  111 1 1 1   1   ', '1   111 1 1 1   11  ']]"
20,2,100,10,0.03,"[['1   1   1111 111 11 ', ' 111111111    111 11']]"
20,2,100,11,0.03,"[['1  111 11 11 11  1 1', '1  11111  11 11  1 1']]"
20,2,100,12,0.03,[['  111 1 11    1    1']]
20,2,100,13,0.03,"[['1   11 111   11  1 1', '   1 1 111 1 11 1111', '111  1 1 11   111 1 ', '111  11  1111  11 11', '1 1  11111  1 1 1 1 ', '111       11   11 11', '1   1 111   111  1 1', '  1    11  1  1 1 11', '11  11 1 1   11  1 1', '   1 11111 1111 1111', '111    1  1   111 1 ', '11  111  1111 11  1 ', '   1 11 11 11   1111', '1 1  1 1111   111 1 ', '111  1   111   11 11', '1 1   111   1 1 1 1 ', '11  1     11  11  1 ', '  1   1 1  11   1 11']]"
20,2,100,14,0.03,"[[' 111  1  1 1   1   1', '11  1 1  111  111 11', '11111 111 1    1   1']]"
20,2,100,15,0.03,[['  1 11 1     111    ']]
20,2,100,16,0.03,[['     1    1  11  111']]
20,2,100,17,0.03,"[[' 1 11   1111 111  1 ', ' 1 1    11 1  11    ']]"
20,2,100,18,0.03,[[' 1  11 11   1111    ']]
20,2,100,19,0.03,[['111       111 1 1111']]
20,2,100,0,0.05,"[[' 11111 1 11 11    11', ' 11111 1 11 1     1 ', '  11111  11 11   11 ', '  1111 1 11 11   111', ' 11111 1 11 1     1 ', '  11111  11 11   11 ']]"
20,2,100,1,0.05,[['11  1 1 11  111 11 1']]
20,2,100,2,0.05,"[['1  11  1    11  1  1', ' 1  1    1 1    1111']]"
20,2,100,3,0.05,[['11  111     1 1  11 ']]
20,2,100,4,0.05,[['1111       1 11  111']]
20,2,100,5,0.05,[['     111 1   1111111']]
20,2,100,6,0.05,"[['   1111   11   1  11', '   1111   11   11 11', '   1111   11   11 11', '   1111   11   11 11', '   1111   11   11 11']]"
20,2,100,7,0.05,[['1 1 1   1111 1    11']]
20,2,100,8,0.05,[['1   1 111    1 1111 ']]
20,2,100,9,0.05,"[['       1 1 111  1 11', '11     1 1 111  1 11']]"
20,2,100,10,0.05,[['11     1       1  1 ']]
20,2,100,11,0.05,[['    1 1  11 1 11   1']]
20,2,100,12,0.05,"[['  111  1 111  1 1  1', '1  11        11   11', ' 111  1  1   1 11   ', '11 1  111 1 11    1 ']]"
20,2,100,13,0.05,[['  1111  1  1111     ']]
20,2,100,14,0.05,[[' 1 111 1   1   111 1']]
20,2,100,15,0.05,"[['1   1 1111     11 1 ', '1 1 1111       1 111']]"
20,2,100,16,0.05,[['11 1 11    1111 11 1']]
20,2,100,17,0.05,[['11  11 11   1 11  11']]
20,2,100,18,0.05,[['  1 1   11111 11   1']]
20,2,100,19,0.05,[[' 1 1 1111     111 1 ']]
20,2,150,0,0.01,[['   1  1 1  1 11 1111']]
20,2,150,1,0.01,[['1111  111    1   111']]
20,2,150,2,0.01,"[['1   1111111 1 1    1', ' 11 1    111  111 1 ', '   1 11 1 11  111  1']]"
20,2,150,3,0.01,"[[' 11  111     1  1 11', ' 11   11     1    11', ' 1111  1     1   111', ' 1111  1     1 1 111', ' 11111 1  1  1 1111 ', ' 11  111  11 1 11 1 ', ' 11   11  11    1 1 ', ' 111 111   1 1  1 11']]"
20,2,150,4,0.01,[['1111   11   1 11 1  ']]
20,2,150,0,0.03,[[' 1 11   1  11 1 1   ']]
20,2,150,1,0.03,"[['  1111 11  1  1111 1', ' 111   111   111 11 ', '  1 1 111    1111 1 ', '   111111  1  111 11']]"
20,2,150,2,0.03,"[[' 111  11 1 1        ', ' 11    1 111   1    ']]"
20,2,150,3,0.03,[['   1111  1 11    11 ']]
20,2,150,4,0.03,[[' 1  1111  111  11 11']]
20,2,150,0,0.05,[['11   111 1  1  1    ']]
20,2,150,1,0.05,[['   1  1      11     ']]
20,2,150,2,0.05,"[['1  1    1 1    111  ', ' 11  1  1  111 1    ']]"
20,2,150,3,0.05,[['11    11   111111111']]
20,2,150,4,0.05,"[['  1   11111  11 11  ', '      1 111   1 1   ', '      1 1111    1   ', '      1     1 1 1 11', '  11  11111  11 11  ', '      1 1111    1   ', '      1     1 1 1 11']]"
20,2,150,0,0.01,[['11 1  1 1111  111  1']]
20,2,150,1,0.01,[['1 111   1   1    1 1']]
20,2,150,2,0.01,"[['  1   1  1 11 1    1', ' 1 1  1 1   1      1']]"
20,2,150,3,0.01,[['   1111111 1  1  11 ']]
20,2,150,4,0.01,[[' 11 1       1  1 1 1']]
20,2,150,5,0.01,[['  1111 111     11 11']]
20,2,150,6,0.01,[['     1 1  11  1 1 1 ']]
20,2,150,7,0.01,"[['111    1 1 1111   1 ', '111      11  11 1 1 ', '11 1   11   11  1   ']]"
20,2,150,8,0.01,[[' 1 11  11 111 1 1 11']]
20,2,150,9,0.01,[[' 111    1   1  1   1']]
20,2,150,0,0.03,[['  11 11  1 1 11     ']]
20,2,150,1,0.03,[['11  111 1  1 1111   ']]
20,2,150,2,0.03,[[' 11  11  1 11 11   1']]
20,2,150,3,0.03,[[' 11  11        1 1 1']]
20,2,150,4,0.03,[['11111 11  1       1 ']]
20,2,150,5,0.03,[[' 1    1   1 1 11 11 ']]
20,2,150,6,0.03,[['  1    11 1111 11 11']]
20,2,150,7,0.03,"[['111    1  11     11 ', '1 11 1   1    11 111', '11   1 11  1  1 1111']]"
20,2,150,8,0.03,"[['1   1  1 1 1 111 111', ' 1 1 1 111  11  11 1', '1  1 1111111111 11 1']]"
20,2,150,9,0.03,[['1111  1  11 1  1  1 ']]
20,2,150,0,0.05,[[' 1     11   11 1    ']]
20,2,150,1,0.05,[['  11    1   1 111 11']]
20,2,150,2,0.05,[[' 1111 11  1 11  1   ']]
20,2,150,3,0.05,"[[' 1      1 1   1 1111', '    11    1   1  111']]"
20,2,150,4,0.05,"[[' 11  11   1   1  111', ' 11  11   1 1 1  111']]"
20,2,150,5,0.05,"[['111    1111 11  1 1 ', '1111  111111 1 1 1 1']]"
20,2,150,6,0.05,[[' 1   1  11  11  11  ']]
20,2,150,7,0.05,[['1  11111 11  11     ']]
20,2,150,8,0.05,"[[' 1 1  11   1  11 1  ', '1  1111  11  11 11  ']]"
20,2,150,9,0.05,[['1 1   111 1  1111 1 ']]
20,2,150,0,0.01,[['   111  1  1 1     1']]
20,2,150,1,0.01,[['  11       11   1   ']]
20,2,150,2,0.01,"[['111 111  1  1   1   ', '1111 11  1111       ', ' 11 11 1    1 111 1 ', '11 1 11   1 1    1  ', ' 111 1 1  111 11  1 ', ' 1  111  1 111  11  ']]"
20,2,150,3,0.01,"[[' 1   1          111 ', ' 1  1  11       11  ', '11     11      111  ', '11   1 1   1   1111 ']]"
20,2,150,4,0.01,"[['1    1111  11 1     ', ' 111   11  11  11 11', '1     11  111 1  1  ', ' 11    111 1   11 11']]"
